Product code;Language;Price;Lower limit;User group;Percentage discount
"proba197";"ru";"113.85";"1";"Все";"0"
"proba198";"ru";"113.85";"1";"Все";"0"
"proba199";"ru";"113.85";"1";"Все";"0"
"proba200";"ru";"113.85";"1";"Все";"0"
"proba201";"ru";"113.85";"1";"Все";"0"
"proba202";"ru";"113.85";"1";"Все";"0"
"proba203";"ru";"0.41";"1";"Все";"0"
"proba204";"ru";"0.77";"1";"Все";"0"
"proba205";"ru";"0.83";"1";"Все";"0"
"proba206";"ru";"1.35";"1";"Все";"0"
"proba207";"ru";"1.73";"1";"Все";"0"
"proba208";"ru";"4.12";"1";"Все";"0"
"proba209";"ru";"6.69";"1";"Все";"0"
"proba210";"ru";"12.11";"1";"Все";"0"
"proba211";"ru";"17.66";"1";"Все";"0"
"proba212";"ru";"22.75";"1";"Все";"0"
"proba213";"ru";"33.07";"1";"Все";"0"
"proba214";"ru";"235.98";"1";"Все";"0"
"proba215";"ru";"662.40";"1";"Все";"0"
"proba216";"ru";"224.25";"1";"Все";"0"
"proba217";"ru";"289.80";"1";"Все";"0"
"proba218";"ru";"1449.00";"1";"Все";"0"
"proba219";"ru";"230.56";"1";"Все";"0"
"proba220";"ru";"287.50";"1";"Все";"0"
"proba221";"ru";"3554.08";"1";"Все";"0"
"proba222";"ru";"35.08";"1";"Все";"0"
"proba223";"ru";"38.53";"1";"Все";"0"
"proba224";"ru";"46.12";"1";"Все";"0"
"proba225";"ru";"4.31";"1";"Все";"0"
"proba226";"ru";"5.00";"1";"Все";"0"
"proba227";"ru";"4.66";"1";"Все";"0"
"proba228";"ru";"5.22";"1";"Все";"0"
"proba229";"ru";"4.72";"1";"Все";"0"
"proba230";"ru";"5.00";"1";"Все";"0"
"proba231";"ru";"5.46";"1";"Все";"0"
"proba232";"ru";"5.35";"1";"Все";"0"
"proba233";"ru";"5.72";"1";"Все";"0"
"proba234";"ru";"6.73";"1";"Все";"0"
"proba235";"ru";"6.84";"1";"Все";"0"
"proba236";"ru";"5.96";"1";"Все";"0"
"proba237";"ru";"7.59";"1";"Все";"0"
"proba238";"ru";"6.96";"1";"Все";"0"
"proba239";"ru";"7.20";"1";"Все";"0"
"proba240";"ru";"8.26";"1";"Все";"0"
"proba241";"ru";"101.83";"1";"Все";"0"
"proba242";"ru";"0.81";"1";"Все";"0"
"proba243";"ru";"1.36";"1";"Все";"0"
"proba244";"ru";"2.53";"1";"Все";"0"
